Sample	Respective pooled control
159_repC	batch11_pWT
160_repA	batch11_pWT
160_repB	batch11_pWT
160_repC	batch11_pWT
161_repA	batch11_pWT
161_repB	batch11_pWT
161_repC	batch11_pWT
162_repA	batch11_pWT
162_repB	batch11_pWT
162_repC	batch11_pWT
163_repA	batch11_pWT
163_repB	batch11_pWT
163_repC	batch11_pWT
164_repA	batch11_pWT
164_repB	batch11_pWT
164_repC	batch11_pWT
165_repA	batch11_pWT
165_repB	batch11_pWT
165_repC	batch11_pWT
166_repA	batch11_pWT
166_repB	batch11_pWT
166_repC	batch11_pWT
167_repA	batch11_pWT
167_repB	batch11_pWT
167_repC	batch11_pWT
168_repA	batch12_pWT
168_repB	batch12_pWT
168_repC	batch12_pWT
169_repA	batch15C_pWT
169_repB	batch15C_pWT
169_repC	batch15C_pWT
17_repA	batch2A_pWT
17_repB	batch2A_pWT
17_repC	batch2A_pWT
17_repD	batch2A_pWT
170_repA	batch15A_pWT
170_repB	batch15A_pWT
170_repC	batch15A_pWT
171_repA	batch12_pWT
171_repB	batch12_pWT
171_repC	batch12_pWT
172_repA	batch12_pWT
172_repB	batch12_pWT
172_repC	batch12_pWT
173_repA	batch12_pWT
173_repB	batch12_pWT
173_repC	batch12_pWT
174_repA	batch12_pWT
174_repB	batch12_pWT
174_repC	batch12_pWT
175_repA	batch12_pWT
175_repB	batch12_pWT
175_repC	batch12_pWT
176_repA	batch12_pWT
176_repB	batch12_pWT
176_repC	batch12_pWT
177_repA	batch12_pWT
177_repB	batch12_pWT
177_repC	batch12_pWT
178_repA	batch12_pWT
178_repB	batch12_pWT
178_repC	batch12_pWT
179_repA	batch12_pWT
179_repB	batch12_pWT
179_repC	batch12_pWT
18_repA	batch2A_pWT
18_repB	batch2A_pWT
18_repC	batch2A_pWT
18_repD	batch2A_pWT
180_repA	batch12_pWT
180_repB	batch12_pWT
180_repC	batch12_pWT
181_repA	batch12_pWT
181_repB	batch12_pWT
181_repC	batch12_pWT
182_repA	batch12_pWT
182_repB	batch12_pWT
182_repC	batch12_pWT
183_repA	batch12_pWT
183_repB	batch12_pWT
183_repC	batch12_pWT
184_repA	batch13_pWT
184_repB	batch13_pWT
184_repC	batch13_pWT
185_repA	batch13_pWT
185_repB	batch13_pWT
185_repC	batch13_pWT
186_repA	batch13_pWT
186_repB	batch13_pWT
186_repC	batch13_pWT
187_repA	batch13_pWT
187_repB	batch13_pWT
187_repC	batch13_pWT
188_repA	batch13_pWT
188_repB	batch13_pWT
188_repC	batch13_pWT
189_repA	batch13_pWT
189_repB	batch13_pWT
189_repC	batch13_pWT
19_repA	batch2A_pWT
19_repB	batch2A_pWT
19_repC	batch2A_pWT
19_repD	batch2A_pWT
190_repA	batch13_pWT
190_repB	batch13_pWT
